age_of_child,child_gender,reporter_role,sentiment_score,text_length,risk_word_count,hours_per_day_on_social_media,device_type,complaint_text,                                    risk_ratio,labeled_risk
18,Female,Father,0,41,4,6,laptop,"As a parent, I have observed that he got into arguments and panic attacks when we tried to limit phone time; online use close to 6 hours per day. the child hides their screen time. which is impacting behavior and routine.",0.095238095,High
11,Male,Mother,-0.021212121,38,4,8,laptop,"I am worried that the child has become secretive, has new friends only online, and avoids family time using devices about 7-8 hours per day. this behavior started a few months ago. which is impacting behavior and routine.",0.102564103,High
17,Female,Mother,-0.008333333,24,1,5,tablet,"Recently, as a parent, i have observed my 17-year-old daughter online until 3 or 4 am; their grades dropped significantly. and it seems unhealthy.",0.04,Medium
15,Female,Guardian,-0.203333333,37,3,9,tablet,"Over the past few months, she lies about her screen time and sneaks out to use social apps every evening; i'd estimate 9 hours per day. this behavior started a few months ago. and it seems unhealthy.",0.078947368,High
13,Male,Mother,0.0625,32,3,9,smartphone,It has become clear that my counselor reports that their 13-year-old son spends about 9 hours per day on social media and has stopped doing homework. which is becoming a serious concern.,0.090909091,High
12,Male,Mother,0.011111111,29,1,2,laptop,"Lately I have noticed that uses social apps to chat with classmates, but rarely misses sleep. i'd say around 2 hours per day. and I feel intervention is needed.",0.033333333,Low
18,Female,Mother,-0.183333333,31,1,4,smartphone,I have observed that uses social media to coordinate group study sessions and is polite online; estimated 4 hours per day. i am worried the long-term effects. and it seems unhealthy.,0.03125,Medium
16,Male,Mother,-0.022222222,38,3,7,smartphone,I am worried that my 16-year-old skips school or is frequently absent because of meeting people from social media. usage around 7 hours per day. this behavior started a few months ago. and I feel intervention is needed.,0.076923077,High
13,Female,Guardian,0.033333333,27,1,3,laptop,I am worried that  13-year-old son spends about 3 hours per day on social media and has stopped doing homework. and this worries me as a parent.,0.035714286,Medium
13,Female,Mother,0.044444444,39,0,5,smartphone,"As a parent, I have observed that rarely eats or sleeps because of continuous social apps and gaming; i think it's about 5 hours per day. this behavior started a few months ago. which is impacting behavior and routine.",0,Low
18,Female,Father,0,41,3,9,tablet,I am worried that he got into arguments and panic attacks when we tried to limit phone time; online use close to 9 hours per day. we have tried setting limits but it doesn't help. and it is affecting daily life.,0.071428571,High
15,Female,Mother,-0.166666667,30,1,2,tablet,"Past few months, chats with relatives and uses social media responsibly; average daily use around 2 hours per day. this behavior started a few months ago. and it seems unhealthy.",0.032258065,Low
18,Female,Guardian,-0.123333333,45,1,4,smartphone,"Over the past few months, we as a family noticed that my parent reports that their 18-year-old daughter spends about 4 hours per day on social media and has stopped doing homework. this behavior started a few months ago. and it is affecting daily life.",0.02173913,Medium
18,Female,Mother,-0.045833333,39,2,5,smartphone,I am concerned because stays up late night and messaging strangers ; daily screen time around 5 hours per day. they pretend not to be online but we found them streaming at night. which is becoming a serious concern.,0.05,Medium
15,Male,Mother,-0.088888889,23,0,7,smartphone,"The child under my care spends nearly 7 hours per day on social media. Sleep is disrupted, and attention to schoolwork has decreased.",0,High
15,Male,Mother,0.016666667,22,2,6,laptop,My son's daily social media usage is around 6 hours per day. He shows anxiety and mood swings when devices are removed,0.086956522,High
17,Female,Guardian,0.166666667,25,0,2,smartphone,I am worried that uses apps mainly for tutorials and study material; about 2 hours per dayeach day. i am worried about the short-term effects.,0,Low
13,Male,Mother,-0.2,43,4,9,tablet,"As a parent, I have observed that started spending money on in-app purchases and ignoring household limits approximately 9 hours per dayof daily use. they pretend not to be online but we found them streaming at night. which is impacting behavior and routine.",0.090909091,High
